Genre,Title,Movements,Year,Date,Natural Language Date,EDTF Date,Date Source,Where,Instrumentation,Orchestration,Estimated Duration,Manuscript Status French,Manuscript Status English,Collaborator?,Text Source,Scanned,Dedication,Notes,Premiere,Recording,Tempo Charted
Arrangements,La poule (Rameau),,1929,3/29,"March 29, 1929",1929-03-29,Score,,Organ,,,inédit,,Rameau transcription by Decruck,,,,,,,
Arrangements,Sœur Monique (Couperin),,?,,,,,,,,,inédit (SACEM),,,,,,,,,
Arrangements,Toccata sur le jeu du coucou (Pasquini),,?,,,,,,,,,inédit (SACEM),,,,,,,,,
Chamber Music/Musique de chambre,1e Quatuor à cordes en ré majeur,1- Allegro con spirito; 2-Lomtamente molto espressivo; 3- Scherzetto in fuga; 4- Allegretto energico con stripito,?,,,,,,,,,inédit (SACEM),,,,,,,,,
Chamber Music/Musique de chambre,1er recueil,1- Fugue en duo; 2- Pastorale rustique; 3- Intermission; 4- The Spinning Wheel; 5- Two Brothers,,,,,,,,,,,,,,,,,,,
Chamber Music/Musique de chambre,1e Sonate en trio,1- Quasi unia fantasia; 2- Pastourelle; 3-Leggieroso,?,,,,,,,,,Editions Costallat (SACEM),,,,,,,,,
Chamber Music/Musique de chambre,1e Sonatine pour piano,,?,,,,,,,,,inédit (SACEM),,,,,,,,,
Chamber Music/Musique de chambre,"1e Trio pour flûte, violoncelle et piano",,?,,,,,,,,,perdu,,,,,,,,,
Chamber Music/Musique de chambre,2e Chant lyrique pour saxophone alto mi bémol avec accompagnement piano,,?,,,,,,,,,inédit (SACEM),,,,,,,,,
Chamber Music/Musique de chambre,2e Quatuor à cordes,,?,,,,,,,,,inédit (SACEM),,,,,,4 movements--titles unknown,,,
Chamber Music/Musique de chambre,2e Recueil,1- Ostinato; 2- Jazz et fugue; 3- Romance et double; 4- Ecossaise; 5- Prélude et valse; 5- Introduction et tierces,,,,,,,,,,,,,,,,,,,
Chamber Music/Musique de chambre,2e Sonatine pour piano,1- Allegro moderato; 2- Andantino; 3-4- Deux menuets enchaînés; 5- Allegro,1946,,,,,,,,,"Editions Costallat, 1946",,,,,,,,,
Chamber Music/Musique de chambre,"2e trio pour flûte, violoncelle et piano",,?,,,,,,,,,perdu,,,,,,,,,
Chamber Music/Musique de chambre,3e Chant lyrique pour saxophone alto mi bémol avec accompagnement piano,,1937,,1937,1937,Score,,"Alto Saxophone, Piano",,,"Editions Buffet-Crampon, 1937",POP @ AD,,,X,,,,Jean-Pierre Baraglioli-saxophone,
Chamber Music/Musique de chambre,3e Quatuor à cordes,,?,,,,,,,,,inédit (SACEM),,,,,,,,,
Chamber Music/Musique de chambre,"3e trio pour flûte, violoncelle et piano","1- Lentement, très expressif (allegro moderato); 2- Vif et léger (dans le goût d’un scherzetto de dessin animé); 3- Modéré, très léger",1944,5/7,"May 7, 1944",1944-05-07,Score,Voulx,"Flute, Cello, Piano",,,inédit,Manuscript @ AD,,,X,No,,,,
Chamber Music/Musique de chambre,4e Chant lyrique pour saxophone solo,,?,,,,,,,,,inédit (SACEM),,,,,,,,,
Chamber Music/Musique de chambre,5e Chant lyrique pour saxophone alto mi bémol avec accompagnement piano,,1934,10/31,"October 31, 1934",1934-10-31,SACEM,,"Alto Saxophone, Piano",,,Editions Buffet-Crampon,POP @ AD,,,X,,,,Jean-Pierre Baraglioli-saxophone,
Chamber Music/Musique de chambre,6e Chant lyrique pour saxophone solo,,?,,,,,,,,,inédit (SACEM),,,,,,,,,
Chamber Music/Musique de chambre,Adagio pour Concerto pour violoncelle et orchestre Réduction de l’adagio pour violoncelle et orgue,,1944,9/22,"September 22, 1944",1944-09-22,Score,Paris,"Cello, Organ",,,inédit,Manuscript @ AD,,,X,,Reduced from Adagio movement of the cello concerto,,,
Chamber Music/Musique de chambre,Air Grave pour instruments grave,,1932,3/1,"March 1, 1932",1932-03-01,Score,New York?,"Low Instruments, Piano",,,LOC,Manuscript @ LOC,,,X,,,,,
Chamber Music/Musique de chambre,Andante de la Sonate pour violon et piano; transcription pour violoncelle et orgue par l'auteur,,?,,,,,,"Cello, Piano",,,inédit,Manuscript @ AD,,,X,,,,,
Chamber Music/Musique de chambre,Apaisement pour violoncelle et piano ou violon et violoncelle,,1948-49,,1948-1949,1948/1949,SACEM,Fontainebleau,"Violin, Cello, Piano",,3:00,inédit,Manuscript @ AD,,,X,,,,,
Chamber Music/Musique de chambre,Aria quatuor de saxophones,,?,,,,,,,,,inédit (SACEM),C,,,,,,,,
Chamber Music/Musique de chambre,Arioso pour clarinette contrebasse si bémol et piano,,1932,1/27,"January 27, 1932",1932-01-27,Score,New York?,"Bass Clarinet, Piano",,,LOC,Manuscript @ LOC,,,X,Leon Leblanc,,,,
Chamber Music/Musique de chambre,Boutade pour clarinette et piano,,?,,,,,,,,,"Editions de Paris, ? (SACEM)",,,,,,,,,
Chamber Music/Musique de chambre,Cantilène pour clarinette (ou violin) en si bémol avec accompagnement piano,,1933,12/6,"December 6, 1933",1933-12-06,Score,Paris,"Clarinet, Violin, Piano",,,"Editions de Paris, 1934 ; Editions SEMI",POP & Manuscript of Violin @ AD,No,,X,Dédié à Gaston Hamelin,,,,
Chamber Music/Musique de chambre,Cantique eucharistique et Hymne au Christ,,1944,,1944,1944,Homage,Paris,"Voice, Cello, Organ",,,perdu,Lost,,,,,,"Eglise des Dominicains. Paris, 1944.",,
Chamber Music/Musique de chambre,Cantique pour violoncelle et piano,,1932,,1932,1932,Score,New York,"Cello, Piano",,,"Maurice Decruck, éditeur, 1932",POP @ AD; Cello Manuscript 2 LOC,,,X,Dédié à Robert Refuveille Violoncelle Solo de la N.B.C. de New York,,,,
Chamber Music/Musique de chambre,"Capriccio, trio pour hautbois, clarinette et basson",,1933,12/7,"December 7, 1933",1933-12-07,Manuscript,Paris,Reed Trio,,5:00,"Editions de Paris, 1934",POP @ AD,,,X,,,,Reference by Reeds Amis,
Chamber Music/Musique de chambre,Chant Hebraïque,,1934,,1934,1934,Score,,"Violin, Piano",,,"Editions de Paris, 1934",POP @ AD,Georges Tzipine,,X,,,,,
Chamber Music/Musique de chambre,"Chant lyrique (op. 69) revision pour flûte, hautbois/cor anglais, clarinette, basson, cor et piano",,1947-48,,1947-1948,1947/1948,Score,Marblehead,Piano and Wind Quintet,,,inédit but the score is marked Editions Selmer,Manuscript @ AD,,,X,Dédiée à François Combelle,Earlier version for saxophone from 1934,,,
Chamber Music/Musique de chambre,Chant lyrique (opus 69) pour saxophone alto mi bémol avec accompagnement piano,,1932,2/6,"February 6, 1932",1932-02-06,Score,,"Alto Saxophone, Piano",,6:00,"Editions Selmer, 1932",Manuscript @ POP @ AD,,,X,Dédié à François Combelle,"Multiple versions for band, orchestra and wind 5tet w/piano.",,Jean-Pierre Baraglioli-saxophone,
Chamber Music/Musique de chambre,Complainte de Dinah pour saxophone alto mi bémol avec accompagnement piano,,1934,3/16,"March 16, 1934",1934-03-16,Score,Paris,"Alto Saxophone, Piano",,,"Editions de Paris, 1934",POP @ AD,,,X,No,Piano Part only,,Jean-Pierre Baraglioli-saxophone,
Chamber Music/Musique de chambre,"Danse cambodgienne pour flûte, violon et piano",,1949,,1949,1949,,Fontainebleau,"Flute, Violin, Piano",,,inédit,Manuscript @ AD,,,X,,,,,
Chamber Music/Musique de chambre,"Danse hindoue pour flûte, violon et piano",,1949,,1949,1949,Score,Fontainebleau,"Flute, Violin, Piano",,,inédit,Manuscript @ AD,,,X,,,,,
Chamber Music/Musique de chambre,Danses autour du monde pour saxophone alto mi bémol avec accompagnement piano ou harpe,1- Ile de Java; 2- Cambodge; 3- Santiago; 4- Antipodes; 5- Au pays imaginaire,1943,,1943,1943,,,"Alto Saxophone, Piano",,10:00,"inédit (1, 2, 4-5) inédit (SACEM) 1-3",Manuscript @ AD,,,X,Dédié à Marcel Mule,Santiago missing; 3 movements republished by Billaudot in 2007,,Michael Duke-saxophone; Joren Cain-saxophone,
Chamber Music/Musique de chambre,Deux berceuses Berceuse héroïque au soldat inconnu pour quatuor de cors en fa,1- Lento funebra; 2- Andante espressivo,1935,5/1,"May 1, 1935",1935-05-01,Score,Paris,Horn Quartet,,,inédit,Manuscript @ AD,,,X,Dédié au Soldat inconnu et à Donald Moore,"Reduced Score, Full Score and poem, notes by the composer on how to adapt for saxophone quartet. Entered by Aubin into Sibelius.",,,
Chamber Music/Musique de chambre,Deux berceuses pour quatuor de saxophones,1- Lento funebra; 2- Andante espressivo,?,,,,,,,,,inédit (SACEM),,,,,,,,,
Chamber Music/Musique de chambre,Duetto pour trompettes en si bémol (ou ut),,?,,,,,,,,,inachevé ? (brouillon),,,,,,,,,
Chamber Music/Musique de chambre,Elégie (opus 42) Transcription pour flûte et piano ou flûte solo par Quinto Maganini,,1931,7/1,"July 1, 1931",1931-07-01,Score,Auzeville,"Flute, Piano",,,"Editions Selmer, 1932",Manuscript @ AD,,,X,Dédié à Henri Selmer,Transcription by Quinto Maganini,,,
Chamber Music/Musique de chambre,Elégie (opus 42) pour clarinette en si bémol avec accompagnement piano,,1931,7/1,"July 1, 1931",1931-07-01,Score,Auzeville,"Clarinet, Piano",,,"Editions Selmer, 1932",Manuscript @ AD,,,X,Dédié à Henri Selmer,,,,
Chamber Music/Musique de chambre,Fantaisie-Prélude pour violoncelle et piano,,1949,,1949,1949,,,"Cello, Organ",,,inédit,,,,,,,,,
Chamber Music/Musique de chambre,"Frises, quatuor de clarinettes",1- Musiciens danseurs; 2- Pastorale; 3- Sur la mort d’un héros; 4- Tisseuses de voiles,?,,,,,,,,,inédit (SACEM),,,,,,,,,
Chamber Music/Musique de chambre,Jazz-Toccata pour saxophone et orchestre-Redcution for saxophone and piano,,?,,,,,,"Alto Saxophone, Piano",,3:00,inédit,Manuscript @ AD,,,X,,,,Jean-Pierre Baraglioli-saxophone,
Chamber Music/Musique de chambre,La Parque pour violoncelle et piano,,?,,,,,,"Cello, Piano",,,inédit,Manuscript @ AD,,,X,,There is a patch on the back that at one time was used for the trumpet part of Fantaisie Orientale pour hautbois et orchestre,,,
Chamber Music/Musique de chambre,Légende du sud Réduction pour trombone et piano,,1934,,1934,1934,Score,,"Trombone, Piano",,,"Editions de Paris, 1934",POP @ AD,,,X,Dédié à Marcel Dumont,Orchestral Version (probably original is lost),,,
Chamber Music/Musique de chambre,Les Adonis pour deux violons et piano,,?,,,,,,,,,perdu,,,,,,,,,
Chamber Music/Musique de chambre,"Les Sérénades pour flûte, violon et piano (1-7)",1-Sérénade Espagnole; 2- Serénade Sentimentale; 3- Serénade a Shanghï; 4- Serénade a Mexico; 5- Serénade Castillane; 6- Serénade Bresilienne; 7- Serénade Antique,1949,8/11,"August 11, 1949",1949-08-11,Score,Fontainebleau,"Flute, Violin, Piano",,,inédit,Manuscript @ AD,,,X,A mon fils Michel,The order of the movements is an educated guess. Many arrangements for other combinations exist.,,,
Chamber Music/Musique de chambre,Maghreba suite arabe pour saxophone alto mi bémol et harpe,1- Danse maghrébine; 2- Mélopée et danse mode Sïka; 3- Chant du désert mode Chleuh; 4- Evocation arabe,?,,,,,,,,,inédit (SACEM),,,,,,,,,
Chamber Music/Musique de chambre,Odelette pour hautbois avec accompagnement piano ou harpe,,1934,1/5,"January 5, 1934",1934-01-05,SACEM,,"Oboe, Piano, Harp",,,"Editions de Paris, 1934",POP Manuscript @ AD,,,X,"Dédié à Monsieur Morel, hautbois solo de la Garde Républicaine et des Concerts Colonne",,,,
Chamber Music/Musique de chambre,"Orientales, trio pour hautbois, clarinette et basson",1- Mozaïques; 2- Le chevrier; 3- Danse de BA; 4- Le chamelier; 5- Fête mauresque,1943,4/11,"April 11, 1943",1943-04-11,Score,,Reed Trio,,,inédit (SACEM),Manuscipt @ Royal Conservatory Antwerp Library,,,X,Dedicated to Trio d'anches de Bruxelles,,,,
Chamber Music/Musique de chambre,Pastorale triste pour cor en fa et piano,,1934,,1934,1934,Score,,"Horn, Piano",,4:00,"Editions de Paris, 1934",POP @ AD,,,X,"Dédiée à Edouard Villermoz, professeur au Conservatoire et cor solo de la Société des Concerts",,,,
Chamber Music/Musique de chambre,"Pavane, version for trio pour hautbois, clarinette et basson",,1949,6/4,"June 4, 1949",1949-06-04,Score,Fontainebleau,"Oboe, Clarinet, Bassoon",,3:00,inédit,Manuscript @ AD,,,X,,Other versions available,,,
Chamber Music/Musique de chambre,"Pavane, version for quatuor de saxophones",,1933,,1933,1933,Score,,Saxophone Quartet,,3:00,"Editions de Paris, 1933 ; Editions SEMI",POP @ AD,,,X,Dédié au Quatuor de la Garde Républicaine,Other versions available,,,
Chamber Music/Musique de chambre,"Pavane, version pour hautbois ou violon et piano",,1949,8/14,"August 14, 1949",1949-08-05,Score,Fontainebleau,"Oboe, Violin, Piano",,3:00,inédit,Manuscript @ AD,,,X,,Other versions available,,Reference by Reeds Amis,
Chamber Music/Musique de chambre,Pièces françaises pour saxophone alto mi bémol avec accompagnement piano,1- Tambourin; 2- Le vieux calvaire; 3- Villageoise; 4- Forlane; 5- L’horloge; 6- Rondel; 7- Rigaudon; 8- Toccata,1943,,1943,1943,,,"Alto Saxophone, Piano",,,"Editions Costallat, 1944; Editions Billaudot",Manuscript & New @ AD,,,X,Dédiées à Marcel Mule,,,Jean-Pierre Baraglioli-saxophone; Michael Duke-saxophone,
Chamber Music/Musique de chambre,Pièces romantiques pour quintette à vent,1- Impromptu; 2- Eglogue; 3- Nocturne; 4- Lied; 5- Caprice,?,,,,,,,,,inédit (SACEM),,,,,,,,,
Chamber Music/Musique de chambre,"Quatuor pour violon, alto, violoncelle et piano en ut dièse mineur","1- Andante; 2- Très modéré, allegro molto; 3- Andantino affectuoso; 4- Très modéré, allegro con molto poco agitato",?,,,,,,,,,"Editions Costallat, ? (SACEM)",,,,,,,,,
Chamber Music/Musique de chambre,Recueillement pour violoncelle ou violon ou clarinette et piano,,1949,October,October 1949,1949-10,SACEM,Fontainebleau,"Violin, Cello, Clarinet, Piano",,3:00,inédit,Manuscript @ AD,,,X,,,,,
Chamber Music/Musique de chambre,Red in Blues pour trompette en si bémol et piano,,1934,,1934,1934,Score,,"Trumpet, Piano",,,Editions Selmer,POP Manuscript @ AD,,,X,Dédié à Philippe Brun,,,,
Chamber Music/Musique de chambre,Sax Volubile pour saxophone alto mi bémol avec accompagnement piano,,1934,8/8,"August 8, 1934",1934-08-08,Score,Auzeville,"Alto Saxophone, Piano",,2:00,"Editions Billaudot, 2006",Manuscript & New @ AD,,,X,No,,,Jean-Pierre Baraglioli-saxophone,
Chamber Music/Musique de chambre,Saxofonia di camera quatuor de saxophones,,?,,,,,,,,,inédit (SACEM),,,,,,,,,
Chamber Music/Musique de chambre,Saxophonesques pour deux saxophones altos mi bémol,,?,,,,,,,,,"Editions de Paris, ?inédits (SACEM)",,,,,,,,,
Chamber Music/Musique de chambre,"Saxophonie, quatuor de saxophones",1- Allegro moderato; 2-Lento expressivo; 3-Tempo de jazz,1934,,1934,1934,Score,,Saxophone Quartet,,,"Editions de Paris, 1934",POP @ AD,,,X,,"No score, just parts",,,
Chamber Music/Musique de chambre,Saxophonietta pour saxophone alto mi bémol avec accompagnement piano,,1934,3/29,"March 29, 1934",1934-03-29,SACEM,Paris?,"Alto Saxophone, Piano",,,"Editions de Paris, ?",Manuscript @ AD,,,X,No,,,,
Chamber Music/Musique de chambre,Scherzo élégiaque pour flûte et piano,,1934,,1934,1934,Score,,"Flute, Piano",,,"Editions de Paris, 1934",,,,X,"Dédié à Lucien Lavaillotte de la Société des Concerts, flûte solo de l’Opéra",,,,
Chamber Music/Musique de chambre,Scherzo Fantasque Réduction pour basson et piano,,1933,12/14,"December 14, 1933",1933-12-14,Score,Paris,"Bassoon, Piano",,,"Editions de Paris, 1934",POP Manuscript @ AD,,,X,"Dédié à Fernand Oubradous, de la Société des Concerts du Conservatoire",,,,
Chamber Music/Musique de chambre,Selmera Sax pour saxophone et orchestre: Reduction pour saxophone et piano,,1933,12/8,"December 8, 1933",1933-12-08,SACEM,,"Alto Saxophone, Piano",,2:00,"Editions de Paris, 1934",POP & Manuscript @ AD,,,X,,,,Jean-Pierre Baraglioli-saxophone,
Chamber Music/Musique de chambre,Sérénade espagnole version pour violoncelle et piano,,1949-1950,,1949-1950,1949/1950,,Fontainebleau,"Cello, Piano",,3:00,inédit,Manuscript @ AD,,,X,,from Les Sérénades,,,
Orchestral Music/Musique Orchestrale,Sérénade sentimentale,,1949-1950,,1949-1950,1949/1950,,Fontainebleau,"Oboe, Chamber Orchestra",2021 0000 str,3:00,inédit,Manuscript @ AD,,,X,,from Les Sérénades; source is Pastorale Triste,,,
Chamber Music/Musique de chambre,Sérénade sentimentale version pour violoncelle et piano,,1949-1950,,1949-1950,1949/1950,,Fontainebleau,"Cello, Piano",,3:00,inédit,Manuscript @ AD,,,X,,from Les Sérénades,,,
Chamber Music/Musique de chambre,Sextette,"1- Allegro appassionato e poco agitato, all ma non troppo, con anima; 2-allegro scherzando to moderato di fua; 3- Tema con variazioni allegretto con moto",?,,,,,,,,,inédit (SACEM),,,,,,,,,
Chamber Music/Musique de chambre,Sinfonia de camera pour quatuor à cordes et piano,,?,,,,,,,,,inédit (SACEM),,,,,,,,,
Chamber Music/Musique de chambre,Sinfonia pour quintette,,?,,,,,,,,,inédit (SACEM),,,,,,,,,
Chamber Music/Musique de chambre,Six duettos pour clarinettes en si bémol,1- Scherzettino; 2- Romance en duo; 3- 3e duo; 4- 4e duo; 5- 5e duo; 6- 6e duo,1934,1/27,"January 27, 1934",1934-01-27,Score,Paris,Clarinet Duo,,,"Editions de Paris, 1934",POP & Manuscript @ AD,,,X,"Dédié à Pierre Lefebvre, soliste de la Garde Républicaine et des Concerts Lamoureux",Date discrepancies.,,,
Chamber Music/Musique de chambre,Sonate en sol pour violon et piano,"1- Allegro appassionato e con Rubato; 2- Lent, et fatigue; 3- Scherzo- pas trop vite, trés souple; 4- Vif et bien Rhthmé",1942,6/20,"June 20, 1942",1942-06-20,Score,Toulouse,"Violin, Piano",,,Fragments inédits (partie de piano perdue),Manuscript @ AD,,,X,Probably writte for André Asselin,Score says that the good copie is with Asselin,,,
Chamber Music/Musique de chambre,"Sonate en trio (2e ) pour hautbois, clarinette en si bémol et basson",1- Moderé; 2- Andante amabile; 3- Scherzo giocoso,1949,10/28,"October 28, 1949",1949-10-28,SACEM,Fontainebleau,Reed Trio,,11:30,inédit,Manuscript @ AD,,,X,"Dédiée à Paul Siguier, Maurice Coëx et Simon Colette","An earlier version with 4 movements was created in 1945 for the trio d'anches René Daraux: oboist René Daraux, clarinetist Fernand Gossens, and bassoonist Ange Maugendre",,Reference by Reeds Amis,
